Id,Name,Type,ABV,IBU,Brewery,Description,Image_URL
25,Rodenbach Grand Cru,Flanders Red Ale,6.0,35,Brouwerij Rodenbach,"Aigre et fruité avec un profil de saveurs profondément riche et boisé.",https://www.amstein.ch/Htdocs/Images/IF_Bottle_700/119521.jpg
26,Westmalle Tripel,Triple,9.5,36,Abbaye de Westmalle,"Un des meilleurs exemples de tripel, équilibré entre douceur fruitée et amertume de houblon.",https://www.amstein.ch/Htdocs/Images/IF_Bottle_700/124151.jpg
27,Affligem Blond,Blonde,6.8,24,Brouwerij Affligem,"Une blonde légère avec des notes florales et une touche de miel, parfaite pour une introduction aux bières belges.",https://belgian-beershop.ch/wp-content/uploads/2021/05/affligem-blond-33cl-scaled.jpg
28,Achel Blond,Trappiste,8.0,25,Brouwerij der Sint-Benedictusabdij de Achel,"Une bière trappiste rare avec un équilibre parfait entre malt doux et amertume discrète.",https://petitecave.ch/5215-large_default/achel-blonde-33cl.jpg
29,Belle-Vue Kriek,Lambic - Fruit,5.2,12,Brouwerij Belle-Vue,"Bière fruitée avec un goût marqué de cerise, légèrement sucrée avec une fin aigre.",https://www.arbre-a-biere.fr/2175-large_default/bellevue-kriek-25cl.jpg
30,Bush Ambrée,Triple,12.0,30,Brasserie Dubuisson,"Une des bières les plus fortes de Belgique, riche en malt avec une touche de caramel et d'épices.",https://www.amstein.ch/Htdocs/Images/IF_Bottle_700/101475.jpg
31,Cuvée des Trolls,Blonde,7.0,20,Brasserie Dubuisson,"Bière blonde douce avec des notes d'agrumes et une légère amertume, très aromatique.",https://www.amstein.ch/Htdocs/Images/Pictures/130410.jpg
32,De Koninck APA,Ale Pale,5.2,22,Brouwerij De Koninck,"Une APA belge traditionnelle avec un bon équilibre de malt et de houblon, notes de caramel et fruits.",https://www.amstein.ch/Htdocs/Images/IF_Bottle_700/101587.jpg
33,Ename Dubbel,Double,6.5,18,Brouwerij Roman,"Notes de caramel et chocolat, avec une finale légèrement épicée et fruitée.",https://www.belbiere.com/wp-content/uploads/2016/05/ename-double-33cl.jpg
34,Floreffe Prima Melior,Belgian Strong Dark Ale,8.0,20,Lefebvre Brewery,"Riche et complexe avec des notes de mélasse, figue et un soupçon d'épices.",https://www.leshoplebelge.ch/wp-content/uploads/2021/04/FLOREFFE_Melior_33cl.jpg
35,Gouden Carolus Tripel,Triple,9.0,24,Brouwerij Het Anker,"Équilibrée entre douceur de malt, épices, et amertume, avec des touches de banane et poire.",https://lamise.ch/236-large_default/carolus-tripel-9-33cl-bte.jpg
36,Grimbergen Double,Ambrée,6.5,22,Abbaye de Grimbergen,"Douce avec des touches de caramel et prune, très légère en amertume.",https://www.leshoplebelge.ch/wp-content/uploads/2023/04/grimbergen-double-brune.jpg
37,Gulden Draak,Quadruple,10.5,30,Brouwerij Van Steenberge,"Une bière sombre et puissante avec des notes de raisin, prune et un arrière-goût torréfié.",https://www.amstein.ch/Htdocs/Images/Pictures/86288.jpg
38,Malheur 12,Strong Ale,11.5,33,Brouwerij Malheur,"Bière brune avec un col fin de couleur beige, au goût franc et une fraîcheur fruitée de banane aux odeurs de chocolat noir et raisins trempés au rhum.",https://www.amstein.ch/Htdocs/Images/Pictures/113713.jpg
40,Lindemans Apple,Lambic - Fruit,3.5,12,Brouwerij Lindemans,"Bière légère avec une saveur prononcée de pomme verte, douce avec une acidité rafraîchissante.",https://www.amstein.ch/Htdocs/Images/IF_Bottle_700/112007.jpg
41,Maredsous 10 Tripel,Triple,10.0,25,Abbaye de Maredsous,"Forte et dorée, elle offre des saveurs d'agrumes et de levure avec une bonne carbonation.",https://www.amstein.ch/Htdocs/Images/Pictures/113623.jpg
42,Kasteel Donker,Quadrupel,11.0,20,Brouwerij Van Honsebrouck,"Un quadrupel classique avec des saveurs profondes de caramel, de chocolat et un soupçon de fruits noirs.",https://www.amstein.ch/Htdocs/Images/Pictures/111863.jpg
43,Petrus Aged Pale,Ale Sour,7.3,25,Brouwerij De Brabandere,"Une sour ale vieillie avec une complexité notable de vin blanc et des notes aigres.",https://www.latelierdesbieres.fr/3057-large_default/petrus-aged-pale-biere-belge-33-cl.jpg
44,Rochefort 8,Trappiste,9.2,22,Abbaye de Rochefort,"Moins intense que la Rochefort 10, avec des saveurs de fruits mûrs et un équilibre malté.",https://www.amstein.ch/Htdocs/Images/IF_Bottle_700/119329.jpg
45,Blanche de Namur,Witbier,4.5,10,Brasserie du Bocq,"Une bière blanche légère et rafraîchissante, infusée avec des épices comme la coriandre et des écorces d'orange.",https://www.latelierdesbieres.fr/2944-large_default/blanche-de-namur-biere-belge-bouteille-33cl.jpg
46,Piraat,Tripel IPA,10.5,30,Brouwerij Van Steenberge,"Une IPA belge puissante avec une forte teneur en alcool et un goût riche en houblons, qui donne des notes d'agrumes et de pin.",https://petitecave.ch/1634-large_default/piraat.jpg
47,St. Bernardus Tripel,Triple,8.0,25,St. Bernardus Watou,"Une tripel classique avec une douceur fruitée équilibrée par une légère amertume.",https://www.amstein.ch/Htdocs/Images/IF_Bottle_700/131356.jpg
48,Straffe Hendrik Quadrupel,Quadruple,11.0,35,Brouwerij De Halve Maan,"Intense et riche avec des notes de caramel, chocolat et une légère touche épicée.",https://petitecave.ch/1593-large_default/straffe-hendrik-quadrupel.jpg
49,Troubadour Magma,Triple IPA,9.0,45,Brouwerij The Musketeers,"Triple IPA avec un fort caractère de houblon, équilibrée par une douceur maltée et des notes tropicales.",https://lamise.ch/4181-large_default/the-musketeers-troubadour-magma-9-33cl-bte.jpg
50,Westmalle Dubbel,Double,7.0,24,Abbaye de Westmalle,"Robuste avec des saveurs de malt noir, chocolat et une finition sèche.",https://www.amstein.ch/Htdocs/Images/IF_Bottle_700/124167.jpg
